,job_title,common_job_title, Job_Family
0,software engineer,software engineer, Software/Application Developer
3,software engineer software engineer,software engineer, Software/Application Developer
6,software engineering,software engineer, Software/Application Developer
9,software engineer engineer,software engineer, Software/Application Developer
12,engineer software engineer,software engineer, Software/Application Developer
15,software engineer sap,software engineer, Software/Application Developer
18,software engineer team,software engineer, Software/Application Developer
21,programmer analyst,programmer analyst, Software/Application Developer
23,programmer analyst programmer,programmer analyst, Software/Application Developer
25,programmer analysts,programmer analyst, Software/Application Developer
27,programmer analysis,programmer analyst, Software/Application Developer
29,programmer analyst team,programmer analyst, Software/Application Developer
31,programme analyst,programmer analyst, Software/Application Developer
33,programmer analyst test,programmer analyst, Software/Application Developer
35,associate programmer analyst,programmer analyst, Software/Application Developer
37,technology analyst,technology analyst, Computer Network Specialist
38,technology technology analyst,technology analyst, Computer Network Specialist
39,technology analyst technology,technology analyst, Computer Network Specialist
40,technology analyst analyst,technology analyst, Computer Network Specialist
41,technology analysis,technology analyst, Computer Network Specialist
42,technology analyst technology services,technology analyst, Computer Network Specialist
43,technology analyst team,technology analyst, Computer Network Specialist
44,associate technology analyst,technology analyst, Computer Network Specialist
45,technology analyst technical,technology analyst, Computer Network Specialist
46,software developer,software developer, Software/Application Developer
47,software developer team,software developer, Software/Application Developer
48,manager software developer,software developer, Software/Application Developer
49,software developer test,software developer, Software/Application Developer
50,software developer associate,software developer, Software/Application Developer
51,software associate developer,software developer, Software/Application Developer
52,software developer analyst,software developer, Software/Application Developer
53,software developer specialist,software developer, Software/Application Developer
54,software developer intern,software developer, Software/Application Developer
55,network engineer,network engineer, Computer Network Specialist
57,network enginer,network engineer, Computer Network Specialist
59,network engineer team,network engineer, Computer Network Specialist
61,network engineer manager,network engineer, Computer Network Specialist
63,network engineer associate,network engineer, Computer Network Specialist
65,network engineer tier,network engineer, Computer Network Specialist
67,network engineer analyst,network engineer, Computer Network Specialist
69,network engineer specialist,network engineer, Computer Network Specialist
71,application developer,application developer, Software/Application Developer
72,application developer sap,application developer, Software/Application Developer
73,application developer team,application developer, Software/Application Developer
74,application developer associate,application developer, Software/Application Developer
75,application developer analyst,application developer, Software/Application Developer
76,application developer specialist,application developer, Software/Application Developer
77,net application developer,application developer, Software/Application Developer
78,rational application developer,application developer, Software/Application Developer
79,application developer intern,application developer, Software/Application Developer
80,technical support engineer,technical support engineer, Computer Support Specialist
81,technical support engineering,technical support engineer, Computer Support Specialist
82,technical support engineer support,technical support engineer, Computer Support Specialist
83,technicial support engineer,technical support engineer, Computer Support Specialist
84,tier technical support engineer,technical support engineer, Computer Support Specialist
85,technical support engineer tier,technical support engineer, Computer Support Specialist
86,associate technical support engineer,technical support engineer, Computer Support Specialist
87,technical support engineer specialist,technical support engineer, Computer Support Specialist
88,technical support eng,technical support engineer, Computer Support Specialist
89,systems analyst,systems analyst, Information Technology Analyst
90,systems analyst systems analyst,systems analyst, Information Technology Analyst
91,systems analyst analyst,systems analyst, Information Technology Analyst
92,systems analysts,systems analyst, Information Technology Analyst
93,systems analysis,systems analyst, Information Technology Analyst
94,systems analyst team,systems analyst, Information Technology Analyst
95,manager systems analyst,systems analyst, Information Technology Analyst
96,systems services analyst,systems analyst, Information Technology Analyst
97,systems analyst associate,systems analyst, Information Technology Analyst
98,system administrator,system administrator, Computer Support Specialist
99,system administration,system administrator, Computer Support Specialist
100,system administator,system administrator, Computer Support Specialist
101,system administrator team,system administrator, Computer Support Specialist
102,system administrator associate,system administrator, Computer Support Specialist
103,system administrator analyst,system administrator, Computer Support Specialist
104,analyst system administrator,system administrator, Computer Support Specialist
105,associate system administrator,system administrator, Computer Support Specialist
106,system adminstrator,system administrator, Computer Support Specialist
107,java developer,java developer, Software/Application Developer
108,java developer developer,java developer, Software/Application Developer
109,java developer team,java developer, Software/Application Developer
110,java developer intern,java developer, Software/Application Developer
111,java developer technical,java developer, Software/Application Developer
112,java developer project,java developer, Software/Application Developer
113,java developer consultant,java developer, Software/Application Developer
114,java developer web developer,java developer, Software/Application Developer
115,java developer contractor,java developer, Software/Application Developer
116,technical support specialist,technical support specialist, Computer Support Specialist
117,technical support specialists,technical support specialist, Computer Support Specialist
118,technical sales support specialist,technical support specialist, Computer Support Specialist
119,user technical support specialist,technical support specialist, Computer Support Specialist
120,tier technical support specialist,technical support specialist, Computer Support Specialist
121,sales technical support specialist,technical support specialist, Computer Support Specialist
122,technical support specialist team,technical support specialist, Computer Support Specialist
123,technical support specialist tier,technical support specialist, Computer Support Specialist
124,specialist technical support,technical support specialist, Computer Support Specialist
125,system analyst,system analyst, Information Technology Analyst
126,analyst system analyst,system analyst, Information Technology Analyst
127,system analyst team,system analyst, Information Technology Analyst
128,system analysis,system analyst, Information Technology Analyst
129,system analyst test analyst,system analyst, Information Technology Analyst
130,associate system analyst,system analyst, Information Technology Analyst
131,system engineer system analyst,system analyst, Information Technology Analyst
132,team system analyst,system analyst, Information Technology Analyst
133,item analyst,system analyst, Information Technology Analyst
134,systems administrator,systems administrator, Computer Support Specialist
135,systems administration,systems administrator, Computer Support Specialist
136,systems administrator team,systems administrator, Computer Support Specialist
137,systems administrator manager,systems administrator, Computer Support Specialist
138,tier systems administrator,systems administrator, Computer Support Specialist
139,systems administrator associate,systems administrator, Computer Support Specialist
140,systems administrator systems analyst,systems administrator, Computer Support Specialist
141,systems analyst administrator,systems administrator, Computer Support Specialist
142,systems administrator specialist,systems administrator, Computer Support Specialist
143,technology manager,technology manager, Information Technology Leadership
144,technology technology manager,technology manager, Information Technology Leadership
145,technology manager technology project manager,technology manager, Information Technology Leadership
146,technology management,technology manager, Information Technology Leadership
147,technology specialist technology manager,technology manager, Information Technology Leadership
148,technical technology manager,technology manager, Information Technology Leadership
149,associate technology manager,technology manager, Information Technology Leadership
150,lot technology manager,technology manager, Information Technology Leadership
151,office technology manager,technology manager, Information Technology Leadership
152,technical specialist,technical specialist, Computer Support Specialist
153,technical sales specialist,technical specialist, Computer Support Specialist
154,technical service specialist,technical specialist, Computer Support Specialist
155,sales technical specialist,technical specialist, Computer Support Specialist
156,technical specialist team,technical specialist, Computer Support Specialist
157,associate technical specialist,technical specialist, Computer Support Specialist
158,technical services specialist,technical specialist, Computer Support Specialist
159,technical specialist assistant,technical specialist, Computer Support Specialist
160,team technical specialist,technical specialist, Computer Support Specialist
161,database administrator,database administrator, Database Administrator
163,database administration,database administrator, Database Administrator
165,database administrator team,database administrator, Database Administrator
167,agent database administrator,database administrator, Database Administrator
169,database administrator specialist,database administrator, Database Administrator
171,database adminstrator,database administrator, Database Administrator
173,database administrator analyst,database administrator, Database Administrator
175,database analyst administrator,database administrator, Database Administrator
177,support specialist,support specialist, Computer Support Specialist
179,user support specialist,support specialist, Computer Support Specialist
181,tier support specialist,support specialist, Computer Support Specialist
183,sales support specialist,support specialist, Computer Support Specialist
185,support service specialist,support specialist, Computer Support Specialist
187,support specialist team,support specialist, Computer Support Specialist
189,care support specialist,support specialist, Computer Support Specialist
191,service support specialist,support specialist, Computer Support Specialist
193,programmer,programmer, Software/Application Developer
194,programmer analyst programmer,programmer, Software/Application Developer
195,programmerare,programmer, Software/Application Developer
196,programmer team,programmer, Software/Application Developer
197,event programmer,programmer, Software/Application Developer
198,net programmer,programmer, Software/Application Developer
199,programmer analyst,programmer, Software/Application Developer
200,web developer,web developer, Web Developer
202,web developer developer,web developer, Web Developer
204,web developer analyst,web developer, Web Developer
206,web developer intern,web developer, Web Developer
208,web application developer web developer,web developer, Web Developer
210,net web developer,web developer, Web Developer
212,associate web developer,web developer, Web Developer
214,assistant web developer,web developer, Web Developer
216,technology support specialist,technology support specialist, Computer Support Specialist
217,tier technology support specialist,technology support specialist, Computer Support Specialist
218,associate technology support specialist,technology support specialist, Computer Support Specialist
219,customer technology support specialist,technology support specialist, Computer Support Specialist
220,client technology support specialist,technology support specialist, Computer Support Specialist
221,technology support specialist sme,technology support specialist, Computer Support Specialist
222,technology support specialist intern,technology support specialist, Computer Support Specialist
223,verse technology support specialist,technology support specialist, Computer Support Specialist
224,customer support specialist technology support,technology support specialist, Computer Support Specialist
225,customer support specialist,customer support specialist, Computer Support Specialist
226,customer service support specialist,customer support specialist, Computer Support Specialist
227,customer care support specialist,customer support specialist, Computer Support Specialist
228,specialist customer support,customer support specialist, Computer Support Specialist
229,customer support specialist technical support,customer support specialist, Computer Support Specialist
230,technical support specialist customer support,customer support specialist, Computer Support Specialist
231,technical customer support specialist,customer support specialist, Computer Support Specialist
232,customer service sales support specialist,customer support specialist, Computer Support Specialist
233,support specialist,customer support specialist, Computer Support Specialist
234,net developer,net developer, Software/Application Developer
235,net developer intern,net developer, Software/Application Developer
236,sitecore developer net developer,net developer, Software/Application Developer
237,net developper,net developer, Software/Application Developer
238,net developer consultant,net developer, Software/Application Developer
239,net developer asp net developer conversion,net developer, Software/Application Developer
240,associate net developer,net developer, Software/Application Developer
241,developer developer,net developer, Software/Application Developer
242,developer,net developer, Software/Application Developer
243,network administrator,network administrator, Computer Network Specialist
244,network administrator intern,network administrator, Computer Network Specialist
245,network admin,network administrator, Computer Network Specialist
246,network administrator engineer,network administrator, Computer Network Specialist
247,server network administrator,network administrator, Computer Network Specialist
248,assistant network administrator,network administrator, Computer Network Specialist
249,network administrator telecom,network administrator, Computer Network Specialist
250,network server administrator,network administrator, Computer Network Specialist
251,network administration supervisor,network administrator, Computer Network Specialist
252,help desk technician,help desk technician, Computer Support Specialist
253,tier help desk technician,help desk technician, Computer Support Specialist
254,help desk technician level,help desk technician, Computer Support Specialist
255,level help desk technician,help desk technician, Computer Support Specialist
256,technology help desk technician,help desk technician, Computer Support Specialist
257,help desk team,help desk technician, Computer Support Specialist
258,help desk technology,help desk technician, Computer Support Specialist
259,computer help desk technician,help desk technician, Computer Support Specialist
260,help desk technical support,help desk technician, Computer Support Specialist
261,application support analyst,application support analyst, Information Technology Analyst
262,applications support analyst,application support analyst, Information Technology Analyst
263,technical application support analyst,application support analyst, Information Technology Analyst
264,clinical application support analyst,application support analyst, Information Technology Analyst
265,application support,application support analyst, Information Technology Analyst
266,business application support analyst,application support analyst, Information Technology Analyst
267,application production support analyst,application support analyst, Information Technology Analyst
268,production application support analyst,application support analyst, Information Technology Analyst
269,application technical support analyst,application support analyst, Information Technology Analyst
270,front end developer,front end developer, Web Developer
271,frontend developer,front end developer, Web Developer
272,front end developer consultant,front end developer, Web Developer
273,front end developer designer,front end developer, Web Developer
274,designer front end developer,front end developer, Web Developer
275,web front end developer,front end developer, Web Developer
276,applications engineer,applications engineer, Software/Application Developer
278,applications engineer sales engineering,applications engineer, Software/Application Developer
280,applications engineer intern,applications engineer, Software/Application Developer
282,application operations engineer,applications engineer, Software/Application Developer
284,application sales engineer,applications engineer, Software/Application Developer
286,application engineer,applications engineer, Software/Application Developer
288,technical applications engineer,applications engineer, Software/Application Developer
290,applications engineering intern,applications engineer, Software/Application Developer
292,desktop support specialist,desktop support specialist, Computer Support Specialist
293,desktop support specialist intern,desktop support specialist, Computer Support Specialist
294,desktop support,desktop support specialist, Computer Support Specialist
295,desktop specialist,desktop support specialist, Computer Support Specialist
296,remote desktop support specialist,desktop support specialist, Computer Support Specialist
297,desktop support eng,desktop support specialist, Computer Support Specialist
298,desktop support manager,desktop support specialist, Computer Support Specialist
299,desktop support team,desktop support specialist, Computer Support Specialist
300,telecommunications specialist,telecommunications specialist, Computer Network Specialist
301,telecommunication specialist,telecommunications specialist, Computer Network Specialist
302,telecommunications operations specialist,telecommunications specialist, Computer Network Specialist
303,communications specialist,telecommunications specialist, Computer Network Specialist
304,telecommunications,telecommunications specialist, Computer Network Specialist
305,telecommunications sales,telecommunications specialist, Computer Network Specialist
306,technology telecommunications specialist,telecommunications specialist, Computer Network Specialist
307,telecommunications specialist project manager,telecommunications specialist, Computer Network Specialist
308,telecommunications manager,telecommunications specialist, Computer Network Specialist
309,technology director,technology director, Information Technology Leadership
310,erp technology director,technology director, Information Technology Leadership
311,director technology,technology director, Information Technology Leadership
312,technology project director,technology director, Information Technology Leadership
313,information technology director,technology director, Information Technology Leadership
314,director technology delivery,technology director, Information Technology Leadership
315,technology consultant director,technology director, Information Technology Leadership
316,associate director technology,technology director, Information Technology Leadership
317,computer programmer,computer programmer, Software/Application Developer
318,computer programmer analyst,computer programmer, Software/Application Developer
319,computer programmer intern,computer programmer, Software/Application Developer
320,computer assistant programmer,computer programmer, Software/Application Developer
321,computer analyst programmer,computer programmer, Software/Application Developer
322,computer programmer analyst level,computer programmer, Software/Application Developer
323,computer systems programmer,computer programmer, Software/Application Developer
324,system admin computer programmer,computer programmer, Software/Application Developer
325,computer programmer systems analyst,computer programmer, Software/Application Developer
326,help desk specialist,help desk specialist, Computer Support Specialist
327,help desk specialist tier,help desk specialist, Computer Support Specialist
328,help desk support specialist,help desk specialist, Computer Support Specialist
329,trading help desk specialist,help desk specialist, Computer Support Specialist
330,producer help desk specialist,help desk specialist, Computer Support Specialist
331,technology help desk specialist,help desk specialist, Computer Support Specialist
332,help desk,help desk specialist, Computer Support Specialist
333,help desk sca,help desk specialist, Computer Support Specialist
334,pharmacy help desk specialist,help desk specialist, Computer Support Specialist
335,director technology,director technology, Information Technology Leadership
336,director technology services,director technology, Information Technology Leadership
337,associate director technology,director technology, Information Technology Leadership
338,director sales technology,director technology, Information Technology Leadership
339,director technology management,director technology, Information Technology Leadership
340,managing director technology,director technology, Information Technology Leadership
341,director technology operations,director technology, Information Technology Leadership
342,technology director,director technology, Information Technology Leadership
343,software architect,software architect, Software/Application Developer
344,associate software architect,software architect, Software/Application Developer
345,software architect consultant,software architect, Software/Application Developer
346,software client architect,software architect, Software/Application Developer
347,developer software architect,software architect, Software/Application Developer
348,software architect developer,software architect, Software/Application Developer
349,software engineer architect,software architect, Software/Application Developer
350,software developer architect,software architect, Software/Application Developer
351,software solution architect,software architect, Software/Application Developer
352,technology coordinator,technology coordinator, Computer Network Specialist
353,data technology coordinator,technology coordinator, Computer Network Specialist
354,local technology coordinator,technology coordinator, Computer Network Specialist
355,technology coach coordinator,technology coordinator, Computer Network Specialist
356,technology asset coordinator,technology coordinator, Computer Network Specialist
357,technology support coordinator,technology coordinator, Computer Network Specialist
358,technology coordinator project manager,technology coordinator, Computer Network Specialist
359,technology project coordinator,technology coordinator, Computer Network Specialist
360,coordinator technology support,technology coordinator, Computer Network Specialist
361,software quality assurance analyst,software quality assurance analyst, Software/Application Developer
362,software quality assurance,software quality assurance analyst, Software/Application Developer
363,software quality assurance analyst tester,software quality assurance analyst, Software/Application Developer
364,software quality assurance manager,software quality assurance analyst, Software/Application Developer
365,software quality assurance team,software quality assurance analyst, Software/Application Developer
366,software quality assurance test,software quality assurance analyst, Software/Application Developer
367,software quality assurance specialist,software quality assurance analyst, Software/Application Developer
368,software quality analyst,software quality assurance analyst, Software/Application Developer
369,software quality assurance intern,software quality assurance analyst, Software/Application Developer
370,associate developer,associate developer, Software/Application Developer
371,developer associate,associate developer, Software/Application Developer
372,associate development,associate developer, Software/Application Developer
373,developer developer,associate developer, Software/Application Developer
374,developer,associate developer, Software/Application Developer
375,software associate developer,associate developer, Software/Application Developer
376,associate development manager,associate developer, Software/Application Developer
377,store developer,associate developer, Software/Application Developer
378,associate software developer,associate developer, Software/Application Developer
379,system architect,system architect, Software/Application Developer
381,system architect analyst,system architect, Software/Application Developer
383,system architect network architect,system architect, Software/Application Developer
385,sub system architect,system architect, Software/Application Developer
387,systems architect,system architect, Software/Application Developer
389,system analyst solution architect,system architect, Software/Application Developer
391,team architect,system architect, Software/Application Developer
393,pega system architect,system architect, Software/Application Developer
395,network architect,network architect, Computer Network Specialist
397,associate network architect,network architect, Computer Network Specialist
399,network architect consultant,network architect, Computer Network Specialist
401,network architect engineer,network architect, Computer Network Specialist
403,system architect network architect,network architect, Computer Network Specialist
