k,alpha,beta,workers,coherence
15,0.01,0.01,4,-2.757867362
15,0.01,0.31,4,-3.170304147
15,0.01,0.61,4,-4.311614228
15,0.01,0.91,4,-5.357761173
15,0.01,symmetric,4,-2.812395745
15,0.31,0.01,4,-3.235358561
15,0.31,0.31,4,-3.370497954
15,0.31,0.61,4,-3.545800572
15,0.31,0.91,4,-4.385372084
15,0.31,symmetric,4,-3.259493465
15,0.61,0.01,4,-3.437905786
15,0.61,0.31,4,-3.461533245
15,0.61,0.61,4,-3.515571496
15,0.61,0.91,4,-3.551054376
15,0.61,symmetric,4,-3.47220212
15,0.91,0.01,4,-3.141027015
15,0.91,0.31,4,-3.167172611
15,0.91,0.61,4,-3.233348541
15,0.91,0.91,4,-3.201298614
15,0.91,symmetric,4,-3.172827007
15,symmetric,0.01,4,-2.780909313
15,symmetric,0.31,4,-3.188032842
15,symmetric,0.61,4,-4.674079377
15,symmetric,0.91,4,-5.080612217
15,symmetric,symmetric,4,-2.802779979
15,asymmetric,0.01,4,-2.814830674
15,asymmetric,0.31,4,-3.154460718
15,asymmetric,0.61,4,-4.658979895
15,asymmetric,0.91,4,-7.92758348
15,asymmetric,symmetric,4,-2.935268304
14,0.01,0.01,4,-2.637895669
14,0.01,0.31,4,-3.026799017
14,0.01,0.61,4,-4.572788378
14,0.01,0.91,4,-5.553201615
14,0.01,symmetric,4,-2.63719553
14,0.31,0.01,4,-3.235535389
14,0.31,0.31,4,-3.308132631
14,0.31,0.61,4,-3.277165539
14,0.31,0.91,4,-4.125040172
14,0.31,symmetric,4,-3.220113824
14,0.61,0.01,4,-3.377302169
14,0.61,0.31,4,-3.387793738
14,0.61,0.61,4,-3.419932426
14,0.61,0.91,4,-3.421664622
14,0.61,symmetric,4,-3.335267367
14,0.91,0.01,4,-3.125710204
14,0.91,0.31,4,-3.219679097
14,0.91,0.61,4,-3.161564648
14,0.91,0.91,4,-3.243586823
14,0.91,symmetric,4,-3.200609964
14,symmetric,0.01,4,-2.708627994
14,symmetric,0.31,4,-3.341593798
14,symmetric,0.61,4,-4.077196059
14,symmetric,0.91,4,-5.488476918
14,symmetric,symmetric,4,-2.756976373
14,asymmetric,0.01,4,-2.705566881
14,asymmetric,0.31,4,-3.592582211
14,asymmetric,0.61,4,-4.176184195
14,asymmetric,0.91,4,-7.272287799
14,asymmetric,symmetric,4,-2.80446532
13,0.01,0.01,4,-2.564768055
13,0.01,0.31,4,-2.6224588
13,0.01,0.61,4,-3.914774676
13,0.01,0.91,4,-4.30118705
13,0.01,symmetric,4,-2.573223063
13,0.31,0.01,4,-2.970419822
13,0.31,0.31,4,-3.121383516
13,0.31,0.61,4,-3.173910243
13,0.31,0.91,4,-3.492487589
13,0.31,symmetric,4,-2.991962187
13,0.61,0.01,4,-3.258938806
13,0.61,0.31,4,-3.26982534
13,0.61,0.61,4,-3.311909881
13,0.61,0.91,4,-3.372032878
13,0.61,symmetric,4,-3.21716263
13,0.91,0.01,4,-3.173429528
13,0.91,0.31,4,-3.126106851
13,0.91,0.61,4,-3.14625359
13,0.91,0.91,4,-3.192190271
13,0.91,symmetric,4,-3.107426462
13,symmetric,0.01,4,-2.587299989
13,symmetric,0.31,4,-2.715938607
13,symmetric,0.61,4,-3.328008799
13,symmetric,0.91,4,-5.702495293
13,symmetric,symmetric,4,-2.57777022
13,asymmetric,0.01,4,-2.741350995
13,asymmetric,0.31,4,-3.230199289
13,asymmetric,0.61,4,-4.370905793
13,asymmetric,0.91,4,-7.395709711
13,asymmetric,symmetric,4,-2.822484855
12,0.01,0.01,4,-2.532241025
12,0.01,0.31,4,-2.501974464
12,0.01,0.61,4,-3.191353891
12,0.01,0.91,4,-4.471452193
12,0.01,symmetric,4,-2.530649211
12,0.31,0.01,4,-2.904642223
12,0.31,0.31,4,-2.898658488
12,0.31,0.61,4,-2.927888298
12,0.31,0.91,4,-3.178482877
12,0.31,symmetric,4,-2.918362683
12,0.61,0.01,4,-3.161209013
12,0.61,0.31,4,-3.180341279
12,0.61,0.61,4,-3.245791137
12,0.61,0.91,4,-3.141433994
12,0.61,symmetric,4,-3.16672982
12,0.91,0.01,4,-3.053746312
12,0.91,0.31,4,-3.005951751
12,0.91,0.61,4,-3.007217449
12,0.91,0.91,4,-3.049186804
12,0.91,symmetric,4,-3.027434546
12,symmetric,0.01,4,-2.554810591
12,symmetric,0.31,4,-2.626270573
12,symmetric,0.61,4,-3.041891681
12,symmetric,0.91,4,-3.432338242
12,symmetric,symmetric,4,-2.557678935
12,asymmetric,0.01,4,-2.627972311
12,asymmetric,0.31,4,-2.734036995
12,asymmetric,0.61,4,-3.43655633
12,asymmetric,0.91,4,-5.882180833
12,asymmetric,symmetric,4,-2.603330019
11,0.01,0.01,4,-2.462683245
11,0.01,0.31,4,-2.919558127
11,0.01,0.61,4,-2.753481171
11,0.01,0.91,4,-3.857918481
11,0.01,symmetric,4,-2.50145312
11,0.31,0.01,4,-2.687528644
11,0.31,0.31,4,-2.795904657
11,0.31,0.61,4,-2.967924625
11,0.31,0.91,4,-3.060422605
11,0.31,symmetric,4,-2.753071434
11,0.61,0.01,4,-3.06048856
11,0.61,0.31,4,-3.114063149
11,0.61,0.61,4,-3.157285435
11,0.61,0.91,4,-3.132367266
11,0.61,symmetric,4,-3.120805357
11,0.91,0.01,4,-2.971356975
11,0.91,0.31,4,-3.012201863
11,0.91,0.61,4,-3.014947091
11,0.91,0.91,4,-3.044630498
11,0.91,symmetric,4,-2.956225642
11,symmetric,0.01,4,-2.594716704
11,symmetric,0.31,4,-2.869463561
11,symmetric,0.61,4,-3.122287667
11,symmetric,0.91,4,-3.938613484
11,symmetric,symmetric,4,-2.645485367
11,asymmetric,0.01,4,-2.598486013
11,asymmetric,0.31,4,-3.059524434
11,asymmetric,0.61,4,-2.999506631
11,asymmetric,0.91,4,-4.92699285
11,asymmetric,symmetric,4,-2.578507057
10,0.01,0.01,4,-2.399442747
10,0.01,0.31,4,-2.51932192
10,0.01,0.61,4,-2.598208013
10,0.01,0.91,4,-2.660413325
10,0.01,symmetric,4,-2.464913291
10,0.31,0.01,4,-2.707827385
10,0.31,0.31,4,-2.766363278
10,0.31,0.61,4,-2.784345627
10,0.31,0.91,4,-2.800014001
10,0.31,symmetric,4,-2.747302758
10,0.61,0.01,4,-3.067944729
10,0.61,0.31,4,-2.992241522
10,0.61,0.61,4,-2.976674346
10,0.61,0.91,4,-2.960465282
10,0.61,symmetric,4,-3.064942906
