k,alpha,beta,workers,coherence
15,0.01,0.01,4,0.424406419
15,0.01,0.31,4,0.419308096
15,0.01,0.61,4,0.401198314
15,0.01,0.91,4,0.405566183
15,0.01,symmetric,4,0.423744356
15,0.31,0.01,4,0.386087427
15,0.31,0.31,4,0.382355129
15,0.31,0.61,4,0.374513712
15,0.31,0.91,4,0.372392375
15,0.31,symmetric,4,0.385567783
15,0.61,0.01,4,0.38412207
15,0.61,0.31,4,0.391447348
15,0.61,0.61,4,0.395531782
15,0.61,0.91,4,0.398770471
15,0.61,symmetric,4,0.385618734
15,0.91,0.01,4,0.32625005
15,0.91,0.31,4,0.334473741
15,0.91,0.61,4,0.332465894
15,0.91,0.91,4,0.328765855
15,0.91,symmetric,4,0.327974268
15,symmetric,0.01,4,0.425088901
15,symmetric,0.31,4,0.417372222
15,symmetric,0.61,4,0.411187912
15,symmetric,0.91,4,0.410375915
15,symmetric,symmetric,4,0.425976434
15,asymmetric,0.01,4,0.38745585
15,asymmetric,0.31,4,0.398210769
15,asymmetric,0.61,4,0.412017011
15,asymmetric,0.91,4,0.456197472
15,asymmetric,symmetric,4,0.384041973
14,0.01,0.01,4,0.43004145
14,0.01,0.31,4,0.429236997
14,0.01,0.61,4,0.439054277
14,0.01,0.91,4,0.403009995
14,0.01,symmetric,4,0.427879019
14,0.31,0.01,4,0.400219413
14,0.31,0.31,4,0.392800524
14,0.31,0.61,4,0.388706296
14,0.31,0.91,4,0.377066093
14,0.31,symmetric,4,0.399755939
14,0.61,0.01,4,0.39791323
14,0.61,0.31,4,0.400378991
14,0.61,0.61,4,0.404994115
14,0.61,0.91,4,0.406772837
14,0.61,symmetric,4,0.40012539
14,0.91,0.01,4,0.333330695
14,0.91,0.31,4,0.343813156
14,0.91,0.61,4,0.339813872
14,0.91,0.91,4,0.335660177
14,0.91,symmetric,4,0.334589401
14,symmetric,0.01,4,0.425453476
14,symmetric,0.31,4,0.427483352
14,symmetric,0.61,4,0.424859309
14,symmetric,0.91,4,0.404582571
14,symmetric,symmetric,4,0.426325546
14,asymmetric,0.01,4,0.401931062
14,asymmetric,0.31,4,0.387347808
14,asymmetric,0.61,4,0.426460472
14,asymmetric,0.91,4,0.442334952
14,asymmetric,symmetric,4,0.396875067
13,0.01,0.01,4,0.437739519
13,0.01,0.31,4,0.430507515
13,0.01,0.61,4,0.427046555
13,0.01,0.91,4,0.401036777
13,0.01,symmetric,4,0.44356034
13,0.31,0.01,4,0.413125453
13,0.31,0.31,4,0.406581334
13,0.31,0.61,4,0.406020178
13,0.31,0.91,4,0.407994676
13,0.31,symmetric,4,0.40069658
13,0.61,0.01,4,0.407883323
13,0.61,0.31,4,0.413900053
13,0.61,0.61,4,0.405202067
13,0.61,0.91,4,0.406347761
13,0.61,symmetric,4,0.404447723
13,0.91,0.01,4,0.352315715
13,0.91,0.31,4,0.367423825
13,0.91,0.61,4,0.364965668
13,0.91,0.91,4,0.357047137
13,0.91,symmetric,4,0.357813985
13,symmetric,0.01,4,0.431102125
13,symmetric,0.31,4,0.426684305
13,symmetric,0.61,4,0.420082947
13,symmetric,0.91,4,0.377893472
13,symmetric,symmetric,4,0.431226185
13,asymmetric,0.01,4,0.440178976
13,asymmetric,0.31,4,0.402647352
13,asymmetric,0.61,4,0.418291471
13,asymmetric,0.91,4,0.444676373
13,asymmetric,symmetric,4,0.427501174
12,0.01,0.01,4,0.394467176
12,0.01,0.31,4,0.395321477
12,0.01,0.61,4,0.40747802
12,0.01,0.91,4,0.409161668
12,0.01,symmetric,4,0.416541447
12,0.31,0.01,4,0.418112765
12,0.31,0.31,4,0.413751439
12,0.31,0.61,4,0.418634793
12,0.31,0.91,4,0.421643976
12,0.31,symmetric,4,0.41326179
12,0.61,0.01,4,0.410427248
12,0.61,0.31,4,0.416668542
12,0.61,0.61,4,0.419743217
12,0.61,0.91,4,0.415678845
12,0.61,symmetric,4,0.416309456
12,0.91,0.01,4,0.367603177
12,0.91,0.31,4,0.367992221
12,0.91,0.61,4,0.371370347
12,0.91,0.91,4,0.369394452
12,0.91,symmetric,4,0.357077351
12,symmetric,0.01,4,0.412588311
12,symmetric,0.31,4,0.409972682
12,symmetric,0.61,4,0.430799191
12,symmetric,0.91,4,0.410290946
12,symmetric,symmetric,4,0.412707072
12,asymmetric,0.01,4,0.411588835
12,asymmetric,0.31,4,0.39094691
12,asymmetric,0.61,4,0.415272875
12,asymmetric,0.91,4,0.409069192
12,asymmetric,symmetric,4,0.403842085
11,0.01,0.01,4,0.418939061
11,0.01,0.31,4,0.413141671
11,0.01,0.61,4,0.409148926
11,0.01,0.91,4,0.419819087
11,0.01,symmetric,4,0.419741071
11,0.31,0.01,4,0.426160654
11,0.31,0.31,4,0.412069599
11,0.31,0.61,4,0.412952417
11,0.31,0.91,4,0.417767706
11,0.31,symmetric,4,0.422067661
11,0.61,0.01,4,0.409249077
11,0.61,0.31,4,0.415533814
11,0.61,0.61,4,0.412994577
11,0.61,0.91,4,0.422076441
11,0.61,symmetric,4,0.411363076
11,0.91,0.01,4,0.365436705
11,0.91,0.31,4,0.381965118
11,0.91,0.61,4,0.367480178
11,0.91,0.91,4,0.366726432
11,0.91,symmetric,4,0.366438715
11,symmetric,0.01,4,0.418477913
11,symmetric,0.31,4,0.418068442
11,symmetric,0.61,4,0.428952572
11,symmetric,0.91,4,0.423920108
11,symmetric,symmetric,4,0.41565131
11,asymmetric,0.01,4,0.422346183
11,asymmetric,0.31,4,0.404951116
11,asymmetric,0.61,4,0.402835866
11,asymmetric,0.91,4,0.393581803
11,asymmetric,symmetric,4,0.413761616
10,0.01,0.01,4,0.404821559
10,0.01,0.31,4,0.415508924
10,0.01,0.61,4,0.430827386
10,0.01,0.91,4,0.430517814
10,0.01,symmetric,4,0.409876006
10,0.31,0.01,4,0.404079862
10,0.31,0.31,4,0.412557514
10,0.31,0.61,4,0.417410966
10,0.31,0.91,4,0.418907894
10,0.31,symmetric,4,0.403829537
10,0.61,0.01,4,0.388218114
10,0.61,0.31,4,0.388701731
10,0.61,0.61,4,0.382373636
10,0.61,0.91,4,0.392476997
10,0.61,symmetric,4,0.391975369
10,0.91,0.01,4,0.352009013
10,0.91,0.31,4,0.370224213
10,0.91,0.61,4,0.364800518
10,0.91,0.91,4,0.362104725
10,0.91,symmetric,4,0.355032521
10,symmetric,0.01,4,0.410969136
10,symmetric,0.31,4,0.409562002
10,symmetric,0.61,4,0.424568837
10,symmetric,0.91,4,0.424136895
10,symmetric,symmetric,4,0.413989356
10,asymmetric,0.01,4,0.422821777
10,asymmetric,0.31,4,0.412758967
10,asymmetric,0.61,4,0.427357977
10,asymmetric,0.91,4,0.40445805
10,asymmetric,symmetric,4,0.411201012
9,0.01,0.01,4,0.416979426
9,0.01,0.31,4,0.409770716
9,0.01,0.61,4,0.42769167
9,0.01,0.91,4,0.425113703
9,0.01,symmetric,4,0.410029282
9,0.31,0.01,4,0.393297874
9,0.31,0.31,4,0.409395636
9,0.31,0.61,4,0.411449957
