Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5617590247093084
75% Corpus,2,0.01,0.31,0.5507395186395497
75% Corpus,2,0.01,0.61,0.520802861816261
75% Corpus,2,0.01,0.9099999999999999,0.4270098440903012
75% Corpus,2,0.01,symmetric,0.5361604572596554
75% Corpus,2,0.31,0.01,0.5869590047668085
75% Corpus,2,0.31,0.31,0.5691703029543216
75% Corpus,2,0.31,0.61,0.5419470662233825
75% Corpus,2,0.31,0.9099999999999999,0.5512147234673638
75% Corpus,2,0.31,symmetric,0.5877307346301487
75% Corpus,2,0.61,0.01,0.5726280744710726
75% Corpus,2,0.61,0.31,0.5494726010658117
75% Corpus,2,0.61,0.61,0.5163779788615065
75% Corpus,2,0.61,0.9099999999999999,0.5489879459774245
75% Corpus,2,0.61,symmetric,0.5718683398326899
75% Corpus,2,0.9099999999999999,0.01,0.5668715792772463
75% Corpus,2,0.9099999999999999,0.31,0.5621876274328155
75% Corpus,2,0.9099999999999999,0.61,0.5296756860686209
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5012064531590172
75% Corpus,2,0.9099999999999999,symmetric,0.5588358726563343
75% Corpus,2,symmetric,0.01,0.5875761768368336
75% Corpus,2,symmetric,0.31,0.5484770458107129
75% Corpus,2,symmetric,0.61,0.5563508751217985
75% Corpus,2,symmetric,0.9099999999999999,0.4245197791748305
75% Corpus,2,symmetric,symmetric,0.5627514530833492
75% Corpus,2,asymmetric,0.01,0.5764239498489324
75% Corpus,2,asymmetric,0.31,0.5707040525405334
75% Corpus,2,asymmetric,0.61,0.5939968966722321
75% Corpus,2,asymmetric,0.9099999999999999,0.44805292556481824
75% Corpus,2,asymmetric,symmetric,0.5155561386093556
75% Corpus,3,0.01,0.01,0.5640256348518872
75% Corpus,3,0.01,0.31,0.566785885200131
75% Corpus,3,0.01,0.61,0.5227921659155967
75% Corpus,3,0.01,0.9099999999999999,0.4049889637920708
75% Corpus,3,0.01,symmetric,0.531946691721098
75% Corpus,3,0.31,0.01,0.5872851511330355
75% Corpus,3,0.31,0.31,0.5767262657994356
75% Corpus,3,0.31,0.61,0.5550064816912937
75% Corpus,3,0.31,0.9099999999999999,0.5377273704567547
75% Corpus,3,0.31,symmetric,0.5830726144054956
75% Corpus,3,0.61,0.01,0.566458550446621
75% Corpus,3,0.61,0.31,0.5479653056544352
75% Corpus,3,0.61,0.61,0.500896448781103
75% Corpus,3,0.61,0.9099999999999999,0.5775651055443622
75% Corpus,3,0.61,symmetric,0.559981462032313
75% Corpus,3,0.9099999999999999,0.01,0.557255896163347
75% Corpus,3,0.9099999999999999,0.31,0.562442895629279
75% Corpus,3,0.9099999999999999,0.61,0.5290429397878058
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4978368300644408
75% Corpus,3,0.9099999999999999,symmetric,0.5599345844104485
75% Corpus,3,symmetric,0.01,0.5774873282128552
75% Corpus,3,symmetric,0.31,0.5486755319692782
75% Corpus,3,symmetric,0.61,0.5437888517428854
75% Corpus,3,symmetric,0.9099999999999999,0.46569275980013325
75% Corpus,3,symmetric,symmetric,0.5495336394524866
75% Corpus,3,asymmetric,0.01,0.5706265475167114
75% Corpus,3,asymmetric,0.31,0.5638491202072115
75% Corpus,3,asymmetric,0.61,0.5850886089392506
75% Corpus,3,asymmetric,0.9099999999999999,0.43598939564433675
75% Corpus,3,asymmetric,symmetric,0.5203436769235029
75% Corpus,4,0.01,0.01,0.5766974098635511
75% Corpus,4,0.01,0.31,0.5583334430312701
75% Corpus,4,0.01,0.61,0.5126718763671123
75% Corpus,4,0.01,0.9099999999999999,0.4032227424815004
75% Corpus,4,0.01,symmetric,0.5446534894457183
75% Corpus,4,0.31,0.01,0.580214905575732
75% Corpus,4,0.31,0.31,0.5711395311898235
75% Corpus,4,0.31,0.61,0.5446877646583947
75% Corpus,4,0.31,0.9099999999999999,0.5390049179228356
75% Corpus,4,0.31,symmetric,0.5801709081769053
75% Corpus,4,0.61,0.01,0.5710318392115183
75% Corpus,4,0.61,0.31,0.545758416166348
75% Corpus,4,0.61,0.61,0.49133187675468504
75% Corpus,4,0.61,0.9099999999999999,0.5701046852577701
75% Corpus,4,0.61,symmetric,0.559817868591231
75% Corpus,4,0.9099999999999999,0.01,0.5647379034413366
75% Corpus,4,0.9099999999999999,0.31,0.5611542618186507
75% Corpus,4,0.9099999999999999,0.61,0.5333544650944252
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5026606022964146
75% Corpus,4,0.9099999999999999,symmetric,0.5567142984361648
75% Corpus,4,symmetric,0.01,0.5763281120062083
75% Corpus,4,symmetric,0.31,0.5443180087640386
75% Corpus,4,symmetric,0.61,0.5221627860406085
75% Corpus,4,symmetric,0.9099999999999999,0.43657427779764274
75% Corpus,4,symmetric,symmetric,0.5555855779826183
75% Corpus,4,asymmetric,0.01,0.5837740055778963
75% Corpus,4,asymmetric,0.31,0.5433508213040692
