,k,alpha,beta,score
0,15,0.01,0.01,-2.4796215010869314
1,15,0.01,0.31,-3.323368283891183
2,15,0.01,0.61,-5.209427197312247
3,15,0.01,0.9099999999999999,-6.590568571063776
4,15,0.31,0.01,-2.483683336036769
5,15,0.31,0.31,-3.3477187366118484
6,15,0.31,0.61,-5.07995081250701
7,15,0.31,0.9099999999999999,-5.644338106430782
8,15,0.61,0.01,-2.5997310544757095
9,15,0.61,0.31,-2.891318519193002
10,15,0.61,0.61,-4.4112590763551305
11,15,0.61,0.9099999999999999,-5.395928981832063
12,15,0.9099999999999999,0.01,-2.5194780961538084
13,15,0.9099999999999999,0.31,-2.684437471002657
14,15,0.9099999999999999,0.61,-2.8771603435656816
15,15,0.9099999999999999,0.9099999999999999,-3.102370698566803
16,14,0.01,0.01,-2.3719797902841235
17,14,0.01,0.31,-3.40765457185595
18,14,0.01,0.61,-4.504634149797766
19,14,0.01,0.9099999999999999,-5.391616834806148
20,14,0.31,0.01,-2.516002055975043
21,14,0.31,0.31,-3.2112205140811247
22,14,0.31,0.61,-4.2100024390385995
23,14,0.31,0.9099999999999999,-4.461224221376592
24,14,0.61,0.01,-2.5188352348090386
25,14,0.61,0.31,-2.6070424328694806
26,14,0.61,0.61,-4.217663087475427
27,14,0.61,0.9099999999999999,-4.523048517468397
28,14,0.9099999999999999,0.01,-2.4924584086683956
29,14,0.9099999999999999,0.31,-2.5409572658518376
30,14,0.9099999999999999,0.61,-2.68842987307373
31,14,0.9099999999999999,0.9099999999999999,-2.8123907668904153
32,13,0.01,0.01,-2.3606250912945486
33,13,0.01,0.31,-2.4052196663416003
34,13,0.01,0.61,-3.287143171068444
35,13,0.01,0.9099999999999999,-5.715389191545258
36,13,0.31,0.01,-2.4868161471941495
37,13,0.31,0.31,-2.5092657189325385
38,13,0.31,0.61,-3.55034339292425
39,13,0.31,0.9099999999999999,-4.306304422985071
40,13,0.61,0.01,-2.550298258527616
41,13,0.61,0.31,-2.56953667907923
42,13,0.61,0.61,-3.1692458594564195
