Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.4213534968339929
100% Corpus,2,0.01,0.31,0.38160056143018467
100% Corpus,2,0.01,0.61,0.3701137838675192
100% Corpus,2,0.01,0.9099999999999999,0.4373825404840912
100% Corpus,2,0.01,symmetric,0.3878106743694885
100% Corpus,2,0.31,0.01,0.3542592578400449
100% Corpus,2,0.31,0.31,0.39946739928235964
100% Corpus,2,0.31,0.61,0.3593798460847822
100% Corpus,2,0.31,0.9099999999999999,0.37365957965479735
100% Corpus,2,0.31,symmetric,0.3583958867960993
100% Corpus,2,0.61,0.01,0.42653832633393074
100% Corpus,2,0.61,0.31,0.418409251354068
100% Corpus,2,0.61,0.61,0.40693649295196455
100% Corpus,2,0.61,0.9099999999999999,0.4297202117096129
100% Corpus,2,0.61,symmetric,0.4174503832577151
100% Corpus,2,0.9099999999999999,0.01,0.40668325945484984
100% Corpus,2,0.9099999999999999,0.31,0.41907082597153417
100% Corpus,2,0.9099999999999999,0.61,0.40954665398997303
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4134151621758452
100% Corpus,2,0.9099999999999999,symmetric,0.42043892929743326
100% Corpus,2,symmetric,0.01,0.4094167942666645
100% Corpus,2,symmetric,0.31,0.3919845560770174
100% Corpus,2,symmetric,0.61,0.3839994502903011
100% Corpus,2,symmetric,0.9099999999999999,0.4451838913347494
100% Corpus,2,symmetric,symmetric,0.4080309403133353
100% Corpus,2,asymmetric,0.01,0.3912078935721948
100% Corpus,2,asymmetric,0.31,0.4004432930848691
100% Corpus,2,asymmetric,0.61,0.3888762239245476
100% Corpus,2,asymmetric,0.9099999999999999,0.38277180486782125
100% Corpus,2,asymmetric,symmetric,0.3827600094570882
100% Corpus,3,0.01,0.01,0.41297612039278275
100% Corpus,3,0.01,0.31,0.3780627539276177
100% Corpus,3,0.01,0.61,0.3772313275117608
100% Corpus,3,0.01,0.9099999999999999,0.39452026128248213
100% Corpus,3,0.01,symmetric,0.38475198552919376
100% Corpus,3,0.31,0.01,0.3553387392929773
100% Corpus,3,0.31,0.31,0.3627585068041
100% Corpus,3,0.31,0.61,0.3554501284311332
100% Corpus,3,0.31,0.9099999999999999,0.3570751426677453
100% Corpus,3,0.31,symmetric,0.35776828317821185
100% Corpus,3,0.61,0.01,0.3985593071618462
100% Corpus,3,0.61,0.31,0.4058670755518515
100% Corpus,3,0.61,0.61,0.39777375380296326
100% Corpus,3,0.61,0.9099999999999999,0.40320996792065855
100% Corpus,3,0.61,symmetric,0.40325200052553384
100% Corpus,3,0.9099999999999999,0.01,0.4161470535367419
100% Corpus,3,0.9099999999999999,0.31,0.4246802813649161
100% Corpus,3,0.9099999999999999,0.61,0.41000430162138823
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4117342979597324
100% Corpus,3,0.9099999999999999,symmetric,0.41495315773991165
100% Corpus,3,symmetric,0.01,0.38561366370784633
100% Corpus,3,symmetric,0.31,0.4137321678632036
100% Corpus,3,symmetric,0.61,0.3895354188712526
100% Corpus,3,symmetric,0.9099999999999999,0.37274431656352724
100% Corpus,3,symmetric,symmetric,0.39866617461839693
100% Corpus,3,asymmetric,0.01,0.39343398664317586
100% Corpus,3,asymmetric,0.31,0.3984314004715133
100% Corpus,3,asymmetric,0.61,0.41971510623238456
100% Corpus,3,asymmetric,0.9099999999999999,0.37069733212806233
100% Corpus,3,asymmetric,symmetric,0.39197702974349846
100% Corpus,4,0.01,0.01,0.41844514941684635
100% Corpus,4,0.01,0.31,0.3925105825505165
100% Corpus,4,0.01,0.61,0.3772304125020343
100% Corpus,4,0.01,0.9099999999999999,0.3982391395845018
100% Corpus,4,0.01,symmetric,0.3951162445291624
100% Corpus,4,0.31,0.01,0.35982898582361056
100% Corpus,4,0.31,0.31,0.36368917896616165
100% Corpus,4,0.31,0.61,0.3711288525745578
100% Corpus,4,0.31,0.9099999999999999,0.35233505031309476
100% Corpus,4,0.31,symmetric,0.36841598639755657
100% Corpus,4,0.61,0.01,0.3966594652199983
100% Corpus,4,0.61,0.31,0.4018562935209092
100% Corpus,4,0.61,0.61,0.39915753346519095
100% Corpus,4,0.61,0.9099999999999999,0.3894829262594868
100% Corpus,4,0.61,symmetric,0.403173148234079
100% Corpus,4,0.9099999999999999,0.01,0.414071550610863
100% Corpus,4,0.9099999999999999,0.31,0.4222181814603849
100% Corpus,4,0.9099999999999999,0.61,0.42278276421381217
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.41189947311234637
100% Corpus,4,0.9099999999999999,symmetric,0.4155177019858859
100% Corpus,4,symmetric,0.01,0.41222797945898176
100% Corpus,4,symmetric,0.31,0.42343841446450686
100% Corpus,4,symmetric,0.61,0.40972488504975135
100% Corpus,4,symmetric,0.9099999999999999,0.4033480902743668
100% Corpus,4,symmetric,symmetric,0.42787260229818386
100% Corpus,4,asymmetric,0.01,0.37773687835275205
100% Corpus,4,asymmetric,0.31,0.3944944904510335
100% Corpus,4,asymmetric,0.61,0.3930550013164327
100% Corpus,4,asymmetric,0.9099999999999999,0.410892213251458
100% Corpus,4,asymmetric,symmetric,0.3943641427604416
100% Corpus,5,0.01,0.01,0.40510551229116387
100% Corpus,5,0.01,0.31,0.390194558646829
100% Corpus,5,0.01,0.61,0.4418796164294081
100% Corpus,5,0.01,0.9099999999999999,0.41645725480473156
100% Corpus,5,0.01,symmetric,0.4035460857307357
100% Corpus,5,0.31,0.01,0.3540341423608651
100% Corpus,5,0.31,0.31,0.3724861434244865
100% Corpus,5,0.31,0.61,0.3708096057043793
100% Corpus,5,0.31,0.9099999999999999,0.3781440682355044
100% Corpus,5,0.31,symmetric,0.3586568184026123
100% Corpus,5,0.61,0.01,0.42002422711401355
100% Corpus,5,0.61,0.31,0.39819613803988835
100% Corpus,5,0.61,0.61,0.40437323346692067
100% Corpus,5,0.61,0.9099999999999999,0.4298563257492763
100% Corpus,5,0.61,symmetric,0.4262799860651011
100% Corpus,5,0.9099999999999999,0.01,0.41496882295742177
100% Corpus,5,0.9099999999999999,0.31,0.41901811345491025
100% Corpus,5,0.9099999999999999,0.61,0.4088453828690618
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.41260994947155716
100% Corpus,5,0.9099999999999999,symmetric,0.4181212098554535
100% Corpus,5,symmetric,0.01,0.4139366687797502
100% Corpus,5,symmetric,0.31,0.39930764130675067
100% Corpus,5,symmetric,0.61,0.4300474825197519
100% Corpus,5,symmetric,0.9099999999999999,0.41718849422745563
100% Corpus,5,symmetric,symmetric,0.4073975763932176
100% Corpus,5,asymmetric,0.01,0.389564891829961
100% Corpus,5,asymmetric,0.31,0.40458202210487115
100% Corpus,5,asymmetric,0.61,0.41824325756059083
100% Corpus,5,asymmetric,0.9099999999999999,0.4606337006165694
100% Corpus,5,asymmetric,symmetric,0.39068032085674015
100% Corpus,6,0.01,0.01,0.3940802005656053
100% Corpus,6,0.01,0.31,0.3785318014060085
100% Corpus,6,0.01,0.61,0.3960961587419892
100% Corpus,6,0.01,0.9099999999999999,0.4409577495117548
100% Corpus,6,0.01,symmetric,0.39872774195228206
100% Corpus,6,0.31,0.01,0.3565909782381701
100% Corpus,6,0.31,0.31,0.36322290600548596
100% Corpus,6,0.31,0.61,0.38389522640554896
100% Corpus,6,0.31,0.9099999999999999,0.3573169819671277
100% Corpus,6,0.31,symmetric,0.35532253699338706
100% Corpus,6,0.61,0.01,0.41545806392187934
100% Corpus,6,0.61,0.31,0.41717692234758175
100% Corpus,6,0.61,0.61,0.42669481379644303
100% Corpus,6,0.61,0.9099999999999999,0.39673947016073324
100% Corpus,6,0.61,symmetric,0.4211134710071118
100% Corpus,6,0.9099999999999999,0.01,0.40801617297616977
